timestamp_ms,bytes_read,bytes_written
0,51167232,7307264
5414,139706368,109412352
10785,146034688,255475712
16131,149250048,324911104
21477,149839872,365817856
26776,149843968,368537600
32111,286068736,540246016
37425,291004416,590344192
42763,440160256,767664128
48111,440160256,780124160
53424,588333056,1097216000
58777,593973248,1193299968
64096,735158272,1396240384
69409,736698368,1417072640
74725,876777472,1697095680
80080,876777472,1709539328
85397,879325184,1950441472
90700,879329280,1968492544
96063,1013604352,2346713088
101371,1147830272,2476961792
106721,1147863040,2693980160
112075,1147863040,2695036928
117402,1282564096,3055341568
122696,1282576384,3087187968
127999,1416765440,3109240832
133310,1416765440,3153813504
138654,1685209088,3526877184
144006,1685209088,3530788864
149342,1685209088,3626012672
154658,1954131968,3911692288
160000,2109984768,4506382336
165337,2109984768,4506542080
170665,2110357504,4746969088
176007,2387881984,4996485120
181328,2864271360,5528338432
186688,2866774016,5556396032
192031,3375849472,6068793344
197324,3459465216,6187495424
202642,3594055680,6236086272
207978,3594055680,6313041920
213324,4096741376,6971002880
218712,4139085824,7040139264
224066,4284588032,7335944192
229395,4286857216,7376302080
234725,4849074176,8203911168
240052,4849086464,8214884352
245353,4983533568,8606015488
250674,4983660544,8680984576
255994,5428838400,9214599168
261296,5461250048,9286676480
266648,5608292352,9322258432
271984,5608513536,9389047808
277342,6062391296,9950896128
282679,6278701056,10202062848
287995,6413426688,10246144000
293324,7086415872,10838073344
298679,7121682432,10939957248
304016,7121879040,10973757440
309341,7256338432,11100786688
314682,7904792576,11473887232
320008,8177745920,12152737792
325370,8180465664,12157071360
330720,8377364480,12338753536
336065,8520171520,13001650176
341398,9308295168,13641334784
346771,9364824064,13839478784
352100,9697009664,14100627456
357458,10396639232,14864859136
362815,10396667904,14876024832
368167,10753892352,16238600192
373522,11311345664,16918016000
378905,11354419200,17209737216
384224,11757297664,17619509248
389611,12214759424,18059612160
394976,12214956032,18060435456
400306,12594405376,18445332480
405664,12997656576,18983358464
411006,13136551936,19113410560
416354,13842870272,19744268288
421733,13857271808,19759128576
427055,13991870464,19929329664
432417,14655922176,20572319744
437796,15086788608,20899713024
443157,15553130496,21662855168
448491,15793770496,22001315840
453871,15793795072,22001934336
459217,16068509696,22080958464
464578,16352534528,22542237696
469926,16839999488,23117398016
475256,17052495872,23388491776
480572,17460531200,23647240192
485916,17876959232,24170405888
491270,17994444800,24329900032
496593,18397376512,24759296000
501963,19105419264,25365065728
507297,19139715072,25519497216
512626,19542654976,26897448960
517999,19994968064,27450089472
523347,20248621056,27750981632
528694,20902641664,28250669056
534067,21016961024,28645318656
539482,21028773888,28657840128
544826,21629005824,29473529856
550227,21814730752,29964750848
555621,21818880000,29970513920
560972,22381580288,30475431936
566344,22796353536,30973399040
571653,22796582912,30973825024
576983,23327903744,31828770816
582402,23995043840,32583983104
587772,24092352512,32735358976
593151,24384614400,33217601536
598525,25026707456,34829586432
603907,25160732672,35076161536
609315,25172594688,35089059840
614649,25920864256,35808735232
620039,26387193856,36595150848
625481,26781491200,37381103616
630829,27298500608,37984567296
636214,28151623680,38993227776
641642,28151623680,39019982848
647035,28159479808,39076782080
652410,28830695424,39705010176
657780,29199171584,40167313408
663188,29199548416,40168292352
668578,29773512704,40774746112
673948,30488272896,42145357824
679322,30629552128,42507038720
684701,31065133056,42816049152
690061,31910371328,43573424128
695434,32094859264,43816472576
700836,32383983616,43896348672
706221,33053839360,44768182272
711596,33211084800,45057785856
716988,33211486208,45058756608
722354,33977294848,45779578880
727728,34315296768,46361509888
733187,34602778624,46613061632
738568,35599278080,47257419776
743977,36291305472,48081473536
749366,36302110720,48281161728
754789,36439691264,48341614592
760181,37160177664,48957349888
765582,37446643712,49497567232
770922,37451694080,49504251904
776270,37993041920,49839656960
781629,38448050176,50425077760
786972,38448050176,50425352192
792341,38859390976,50850197504
797705,39557046272,51957960704
803111,39790587904,52552810496
808471,40249991168,52808278016
813884,41183506432,53465677824
819296,41563852800,55634710528
824647,41575784448,55647125504
830041,41859321856,56280141824
835409,42786586624,57210851328
840781,43215605760,57828433920
846166,43456638976,59210596352
851553,44267876352,59958611968
856970,44923686912,60488744960
862342,45159997440,60789846016
867706,45607669760,61180071936
873103,46331838464,62258974720
878503,46806601728,62800711680
883903,46994374656,63082962944
889306,47856410624,63572602880
894715,48739467264,64332980224
900163,48775221248,64618856448
905533,49229025280,65041854464
910933,49847656448,65809457152
916346,50854936576,67367702528
921753,51142225920,67713605632
927110,52195049472,68230242304
932505,53010616320,68909912064
937913,53302308864,69330321408
943342,53537607680,69568540672
948712,54263640064,70101143552
954120,55152947200,71067832320
959504,55676874752,71658344448
964874,56093208576,71990550528
970265,56570064896,72437432320
975703,56858918912,72839700480
981080,56882188288,72920420352
986431,57761554432,73393131520
991830,58341109760,74091028480
997189,58487980032,74315964416
1002559,58973327360,74752843776
1007981,59501076480,75846721536
1013352,59546144768,75968417792
1018687,60078583808,76064849920
1024095,61546622976,77552615424
1029495,62161092608,79781945344
1034904,62605357056,80743407616
1040270,63075168256,81019785216
1045653,63942197248,81344700416
1051064,64503799808,81872158720
1056440,64573829120,81936457728
1061808,65150709760,82169466880
1067229,66113990656,83111956480
1072723,66159890432,83531743232
1078194,66191831040,83541413888
1083586,66947284992,84266082304
1088994,67849338880,85099868160
1094393,68115406848,85581959168
1099792,68890308608,85998305280
1105227,70001528832,86968496128
1110655,70261084160,87519698944
1116044,71244722176,87890767872
1121475,71444049920,88904753152
1126886,71444639744,88905367552
1132299,71523934208,89112014848
1137686,72401833984,89525710848
1143096,73301475328,90379816960
1148508,74257346560,90921349120
1153967,75150221312,91677728768
1159406,75169230848,92646891520
1164821,75422797824,92785012736
1170226,76047597568,93520306176
1175618,77208129536,94945669120
1181034,77775491072,96009072640
1186406,79351717888,96618754048
1191781,80257945600,97206284288
1197147,80291364864,97509933056
1202500,81521012736,97997234176
1207903,82747641856,98859737088
1213346,83190161408,99543699456
1218737,83919831040,99933437952
1224204,84806975488,100846387200
1229606,85317611520,101731860480
1235013,86273474560,102240694272
1240378,88940675072,103415140352
1245804,90090741760,104795062272
1251235,90723921920,105869127680
1256628,91509309440,106230009856
1262026,92402278400,106648211456
1267423,93389434880,107124502528
1272809,93433675776,107723628544
1278196,94603968512,107919138816
1283609,96402214912,108761292800
1289019,97328418816,110534520832
1294446,98122432512,111056314368
1299854,98424647680,111333015552
1305248,99676868608,111753158656
1310676,100518699008,112268115968
1316129,100678324224,113318404096
1321525,101278232576,113434431488
1326975,102884564992,115057766400
1332404,103934672896,116243267584
1337785,104181501952,116424040448
1343276,105324613632,116424040448
1348752,105586335744,117016956928
1354267,106374328320,117146947584
1359785,106667139072,118125080576
1365283,107558060032,118631796736
1370672,109521649664,120944898048
1376099,110473334784,122100740096
1381527,112630480896,122949623808
1386926,113167835136,123753267200
1392319,114391302144,123948781568
1397750,115135688704,124473454592
1403174,115514552320,125463937024
1408604,116164976640,125685907456
1414020,116799737856,126619623424
1419466,118455361536,127745892352
1424906,118681550848,128512016384
1430291,120077496320,128674394112
1435734,120560771072,129311305728
1441156,121661001728,129734389760
1446595,121688756224,130489552896
1451980,121688838144,130533806080
1457372,122929373184,130687561728
1462832,123778420736,132075835392
1468252,124939255808,132532768768
1473672,126137585664,133454233600
1479070,126726635520,133949652992
1484509,126939414528,134112509952
1489912,127987515392,134389776384
1495349,128810954752,135863324672
1500800,129746710528,136632954880
1506247,130613870592,138111447040
1511672,132108955648,138620858368
1517105,133347528704,139435073536
1522543,134204051456,139969208320
1527960,134879289344,140553646080
1533387,135584792576,141218959360
1538802,136767967232,142141956096
1544272,137798361088,143517347840
1549676,138798538752,143897219072
1555119,139710943232,144846942208
1560529,140867407872,145085571072
1565931,141196615680,145736015872
1571340,142016946176,145918963712
1576793,142757093376,147285524480
1582226,143605858304,148114698240
1587675,144233701376,149263966208
1593078,145785917440,149732442112
1598526,146979561472,150839087104
1603963,147960602624,151230820352
1609406,148380135424,151757676544
1614809,149626028032,152036569088
1620254,150462357504,153507651584
1625712,151715946496,154163482624
1631151,152472854528,155767119872
1636552,154763649024,156173910016
1641972,155829817344,157154721792
1647447,157328338944,157330837504
1652906,157657702400,158097100800
1658344,158580928512,158514491392
1663768,159539064832,159301234688
1669217,163010093056,160345391104
1674637,164798496768,160664420352
1679997,166690938880,161931460608
1685429,169353498624,161931460608
1690864,170675310592,162867429376
1696303,171959726080,163697549312
1701707,174163570688,163706048512
1707173,175348649984,164648083456
1712629,176323256320,165115772928
1718078,176793731072,165629300736
1723506,178728419328,165974536192
1728945,180109926400,167141847040
1734420,182012657664,168019714048
1739884,183232364544,169750495232
1745330,185500311552,170655629312
1750743,186929889280,171294994432
1756148,189168066560,171546144768
1761575,189634977792,172265766912
1766964,190843060224,172768927744
1772424,191958061056,173680074752
1777877,192356196352,174193770496
1783258,193915396096,174375006208
1788697,194824007680,175467245568
1794174,196373626880,176151875584
1799603,196644765696,176782991360
1805076,196799569920,176999784448
1810490,198883721216,177167892480
1815931,199442145280,177725198336
1821320,200514265088,178337157120
1826778,201202278400,179291922432
1832208,201792573440,179993251840
1837626,204450115584,180366118912
1843037,205445033984,181531336704
